SNA RESPONSE CATEGORY,QUESTION/CATEGORY DESCRIPTION,RESPONSE,VALUE,NOTES
TOTALSURVEYS,Count of total surveys completed,N/A,Count,This is a total count of all surveys completed
1_FAMILYCOUNT,What family members are staying with you tonight?,N/A,Count,This is a total count of all respondents who answered the question (excluding blank/missing responses)
1_SINGLE,What family members are staying with you tonight?,None,Count,
1_FAMILYHEAD,What family members are staying with you tonight?,Child(ren)/Dependent(s),Count,
1_PARTNER,What family members are staying with you tonight?,Partner,Count,
1_OTHERADULT,What family members are staying with you tonight?,Other adult family ,Count,
1B_DEPENDENTCOUNT,Can you tell me the age and gender of the child(ren)/dependent/s staying with you tonight?,N/A,Count,This is a total count of all respondents who answered the question (excluding blank/missing responses)
1B_DEPENDENTAGEAVERAGE,Can you tell me the age and gender of the child(ren)/dependent/s staying with you tonight?,Estimate provided in years,Calculated average (in years),
1B_DEPENDENTMALE,Can you tell me the age and gender of the child(ren)/dependent/s staying with you tonight?,Male,Count,
1B_DEPENDENTFEMALE,Can you tell me the age and gender of the child(ren)/dependent/s staying with you tonight?,Female,Count,
1B_DEPENDENTGENDEROTHER,Can you tell me the age and gender of the child(ren)/dependent/s staying with you tonight?,Gender Not Listed,Count,
2_AGECOUNT,How old are you? OR What year were you born?,N/A,Count,This is a total count of all respondents who answered the question (excluding blank/missing responses)
2_AGEAVERAGE,How old are you? OR What year were you born?,Estimate provided in years,Calculated average (in years),
2_DONTKNOW,How old are you? OR What year were you born?,Don’t know,Count,
2_DECLINETOANSWER,How old are you? OR What year were you born?,Decline to answer,Count,
3_AGEHOMELESSCOUNT,How old were you when you first experienced homelessness?,N/A,Count,This is a total count of all respondents who answered the question (excluding blank/missing responses)
3_AGEHOMELESSAVERAGE,How old were you when you first experienced homelessness?,Estimate provided in years,Calculated average (in years),
3_DONTKNOW,How old were you when you first experienced homelessness?,Don’t know,Count,
3_DECLINETOANSWER,How old were you when you first experienced homelessness?,Decline to answer,Count,
4_TIMEHOMELESSCOUNT,"Over the past 12 months, how much time in total have you experienced homelessness?",N/A,Count,This is a total count of all respondents who answered the question (excluding blank/missing responses)
4_TIMEHOMELESSAVERAGE,"Over the past 12 months, how much time in total have you experienced homelessness?",Estimate provided in days,Calculated average (in days),
