_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,no_recent_shelter_use,actively_homeless,ageunder16,age16-24,age25-44,age45-64,age65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage
1145,Jan-20,All Population,64,487,901,567,845,9916,1440,1227,3893,2852,504,6083,3737,96,100.0
1146,Jan-20,Chronic,12,47,412,225,133,3471,429,432,1096,1205,307,2186,1245,42,35.0
1147,Jan-20,Refugees,15,25,407,392,107,2941,969,341,1177,427,27,1403,1528,10,29.7
1148,Jan-20,Families,15,10,345,380,75,2706,1438,238,790,231,9,1083,1623,0,27.3
1149,Jan-20,Youth,8,46,103,27,96,987,0,987,0,0,0,584,364,39,10.0
1150,Jan-20,Single Adult,41,431,453,160,674,6223,0,0,3103,2621,495,4416,1750,57,62.8
1151,Jan-20,Non-refugees,49,462,494,175,738,6975,471,886,2716,2425,477,4680,2209,86,70.3
1152,Feb-20,All Population,76,512,959,601,968,9834,1434,1185,3909,2795,511,6035,3695,104,100.0
1153,Feb-20,Chronic,13,28,398,287,144,3412,405,435,1029,1251,309,2148,1204,43,34.7
1154,Feb-20,Refugees,19,28,422,394,107,2902,961,334,1174,407,26,1381,1514,7,29.5
1155,Feb-20,Families,21,19,415,425,49,2686,1434,226,798,219,9,1077,1609,0,27.3
1156,Feb-20,Youth,4,48,90,41,114,957,0,957,0,0,0,567,354,36,9.7
1157,Feb-20,Single Adult,51,445,454,135,805,6191,0,0,3111,2576,502,4391,1732,68,63.0
1158,Feb-20,Non-refugees,57,484,537,207,861,6932,473,851,2735,2388,485,4654,2181,97,70.5
1159,Mar-20,All Population,89,479,900,660,891,9680,1380,1135,3854,2805,506,5965,3606,109,100.0
1160,Mar-20,Chronic,12,26,457,323,140,3467,424,441,1057,1230,315,2187,1238,42,35.8
1161,Mar-20,Refugees,28,27,329,399,85,2787,896,319,1134,412,26,1350,1430,7,28.8
1162,Mar-20,Families,27,23,370,435,46,2636,1379,230,779,238,10,1102,1534,0,27.2
1163,Mar-20,Youth,12,39,96,59,119,905,0,905,0,0,0,535,338,32,9.3
1164,Mar-20,Single Adult,50,417,434,166,726,6139,0,0,3075,2567,496,4328,1734,77,63.4
1165,Mar-20,Non-refugees,61,452,571,261,806,6893,484,816,2720,2393,480,4615,2176,102,71.2
1166,Apr-20,All Population,67,349,469,600,961,8935,1234,1050,3518,2644,489,5507,3330,98,100.0
1167,Apr-20,Chronic,21,21,428,307,121,3467,384,454,1089,1224,317,2212,1212,42,38.8
1168,Apr-20,Refugees,15,20,100,362,98,2452,767,282,1006,376,21,1186,1260,6,27.4
1169,Apr-20,Families,17,27,187,383,61,2514,1226,223,764,278,23,1080,1431,3,28.1
1170,Apr-20,Youth,8,34,52,50,98,828,0,827,0,0,0,495,307,27,9.3
1171,Apr-20,Single Adult,42,288,230,167,802,5593,0,0,2754,2366,466,3932,1592,68,62.6
1172,Apr-20,Non-refugees,52,329,369,238,863,6483,467,768,2512,2268,468,4321,2070,92,72.6
1173,May-20,All Population,57,407,390,497,1015,8207,1093,964,3151,2523,476,5056,3051,100,100.0
1174,May-20,Chronic,22,29,452,256,145,3549,393,449,1143,1239,325,2262,1246,41,43.2
1175,May-20,Refugees,9,18,66,279,86,2172,684,259,861,345,23,1066,1099,7,26.5
1176,May-20,Families,15,20,123,324,69,2217,1037,193,669,284,34,984,1228,5,27.0
1177,May-20,Youth,11,28,44,29,99,769,0,769,0,0,0,453,291,25,9.4
1178,May-20,Single Adult,31,359,223,144,847,5221,0,0,2482,2239,442,3619,1532,70,63.6
1179,May-20,Non-refugees,48,389,324,218,929,6035,409,705,2290,2178,453,3990,1952,93,73.5
1180,Jun-20,All Population,48,324,368,434,798,7668,993,889,2939,2381,466,4747,2822,99,100.0
1181,Jun-20,Chronic,19,36,450,268,125,3615,414,448,1161,1260,332,2310,1266,39,47.1
1182,Jun-20,Refugees,12,16,43,229,93,1917,599,229,760,302,27,961,945,11,25.0
1183,Jun-20,Families,12,29,133,266,94,2089,961,187,622,279,40,940,1144,5,27.2
1184,Jun-20,Youth,11,41,45,39,85,701,0,701,0,0,0,413,259,29,9.1
1185,Jun-20,Single Adult,25,254,190,129,619,4878,32,1,2317,2102,426,3394,1419,65,63.6
1186,Jun-20,Non-refugees,36,308,325,205,705,5751,394,660,2179,2079,439,3786,1877,88,75.0
1187,Jul-20,All Population,87,530,552,512,712,7552,911,878,2962,2331,470,4690,2760,102,100.0
1188,Jul-20,Chronic,27,29,414,302,170,3598,415,439,1135,1279,330,2311,1249,38,47.6
1189,Jul-20,Refugees,22,23,59,308,68,1643,498,209,640,270,26,828,804,11,21.8
1190,Jul-20,Families,29,42,164,326,52,1951,897,176,591,250,37,865,1080,6,25.8
1191,Jul-20,Youth,14,44,55,37,73,693,0,693,0,0,0,403,261,29,9.2
1192,Jul-20,Single Adult,44,444,333,149,587,4908,0,0,2371,2081,433,3422,1419,67,65.0
1193,Jul-20,Non-refugees,65,507,493,204,644,5909,413,669,2322,2061,444,3862,1956,91,78.2
1194,Aug-20,All Population,89,434,628,477,595,7580,879,891,3011,2336,463,4707,2766,107,100.0
