_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,no_recent_shelter_use,actively_homeless,ageunder16,age16-24,age25-44,age45-64,age65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage
204,Jan-20,All Population,64,487,901,567,845,9916,1686,1386,4530,3166,554,6953,4256,113,100.0
205,Jan-20,Chronic,12,47,412,225,133,3471,519,476,1216,1370,325,2424,1434,48,35.0
206,Jan-20,Refugees,15,25,407,392,107,2941,1191,428,1508,534,29,1829,1849,12,29.7
207,Jan-20,Families,15,10,345,380,75,2706,1683,275,933,260,10,1294,1867,0,27.3
208,Jan-20,Youth,8,46,103,27,96,987,0,1110,0,0,0,661,406,43,10.0
209,Jan-20,Single Adult,41,431,453,160,674,6223,0,0,3597,2906,544,4998,1983,70,62.8
210,Jan-20,Non-refugees,49,462,494,175,738,6975,495,958,3022,2632,525,5124,2407,101,70.3
211,Feb-20,All Population,76,512,959,601,968,9834,1687,1376,4598,3182,552,6954,4314,127,100.0
212,Feb-20,Chronic,13,28,398,287,144,3412,527,494,1227,1370,333,2436,1468,47,34.7
213,Feb-20,Refugees,19,28,422,394,107,2902,1172,428,1501,522,31,1796,1844,14,29.5
214,Feb-20,Families,21,19,415,425,49,2686,1685,264,943,257,11,1267,1893,0,27.3
215,Feb-20,Youth,4,48,90,41,114,957,0,1112,0,0,0,653,416,43,9.7
216,Feb-20,Single Adult,51,445,454,135,805,6191,0,0,3655,2925,541,5034,2005,84,63.0
217,Feb-20,Non-refugees,57,484,537,207,861,6932,515,948,3097,2660,521,5158,2470,113,70.5
218,Mar-20,All Population,89,479,900,660,891,9680,1642,1354,4512,3153,562,6860,4234,129,100.0
219,Mar-20,Chronic,12,26,457,323,140,3467,535,512,1246,1384,336,2479,1488,46,35.8
220,Mar-20,Refugees,28,27,329,399,85,2787,1115,432,1418,505,28,1729,1758,11,28.8
221,Mar-20,Families,27,23,370,435,46,2636,1641,272,920,272,12,1286,1831,0,27.2
222,Mar-20,Youth,12,39,96,59,119,905,0,1082,0,0,0,636,404,42,9.4
223,Mar-20,Single Adult,50,417,434,166,726,6139,0,0,3592,2881,550,4938,1999,87,63.4
224,Mar-20,Non-refugees,61,452,571,261,806,6893,527,922,3094,2648,534,5131,2476,118,71.2
225,Apr-20,All Population,67,349,469,600,961,8935,1487,1230,4210,3023,536,6436,3923,127,100.0
226,Apr-20,Chronic,21,21,428,307,121,3467,505,503,1256,1379,335,2477,1453,48,43.1
227,Apr-20,Refugees,15,20,100,362,98,2452,978,376,1271,469,30,1547,1568,9,30.5
228,Apr-20,Families,17,27,187,383,61,2514,1479,256,890,310,23,1244,1712,2,31.2
229,Apr-20,Youth,8,34,52,50,98,828,0,974,0,0,0,575,364,35,10.3
230,Apr-20,Single Adult,42,288,230,167,802,4708,0,0,3320,2713,513,4617,1847,90,58.5
231,Apr-20,Non-refugees,52,329,369,238,863,5598,509,854,2939,2554,506,4889,2355,118,69.5
232,May-20,All Population,57,407,390,497,1015,8207,1307,1121,3901,2866,526,5995,3607,119,100.0
233,May-20,Chronic,22,29,452,256,145,3549,483,494,1327,1384,339,2518,1465,44,43.2
234,May-20,Refugees,9,18,66,279,86,2172,835,334,1119,420,28,1368,1359,9,26.5
235,May-20,Families,15,20,123,324,69,2217,1250,224,787,314,35,1152,1454,4,27.0
236,May-20,Youth,11,28,44,29,99,769,0,896,0,0,0,528,338,30,9.4
237,May-20,Single Adult,31,359,223,144,847,5221,0,0,3114,2552,491,4315,1815,85,63.6
238,May-20,Non-refugees,48,389,324,218,929,6035,472,787,2782,2446,498,4627,2248,110,73.5
239,Jun-20,All Population,48,324,368,434,798,7668,1168,1053,3480,2720,502,5466,3333,124,100.0
240,Jun-20,Chronic,19,36,450,268,125,3615,489,502,1354,1418,343,2568,1493,45,47.1
241,Jun-20,Refugees,12,16,43,229,93,1917,730,301,958,386,31,1213,1180,13,25.0
242,Jun-20,Families,12,29,133,266,94,2089,1134,228,736,310,41,1085,1360,4,27.2
243,Jun-20,Youth,11,41,45,39,85,701,0,825,0,0,0,482,309,34,9.1
244,Jun-20,Single Adult,25,254,190,129,619,4878,0,0,2744,2410,461,3899,1664,86,63.6
245,Jun-20,Non-refugees,36,308,325,205,705,5751,438,752,2522,2334,471,4253,2153,111,75.0
246,Jul-20,All Population,87,530,552,512,712,7552,1102,1012,3509,2666,510,5403,3271,125,100.0
247,Jul-20,Chronic,27,29,414,302,170,3598,509,495,1355,1449,350,2600,1515,43,47.6
248,Jul-20,Refugees,22,23,59,308,68,1643,644,276,860,354,32,1115,1035,16,21.8
249,Jul-20,Families,29,42,164,326,52,1951,1080,210,702,292,45,1040,1283,6,25.8
250,Jul-20,Youth,14,44,55,37,73,693,0,802,0,0,0,469,299,34,9.2
251,Jul-20,Single Adult,44,444,333,149,587,4908,0,0,2807,2374,465,3894,1689,85,65.0
252,Jul-20,Non-refugees,65,507,493,204,644,5909,458,736,2649,2312,478,4288,2236,109,78.2
253,Aug-20,All Population,89,434,628,477,595,7580,1053,1032,3469,2638,522,5317,3272,125,100.0
254,Aug-20,Chronic,21,39,504,308,120,3835,530,504,1391,1487,351,2645,1568,50,50.6
255,Aug-20,Refugees,28,21,79,224,50,1487,568,257,755,321,28,990,924,15,19.6
256,Aug-20,Families,23,45,213,264,72,1881,1036,219,665,262,35,974,1238,5,24.8
257,Aug-20,Youth,18,32,81,43,75,697,0,813,0,0,0,474,307,32,9.2
258,Aug-20,Single Adult,48,357,334,170,448,5002,0,0,2804,2376,487,3869,1727,88,66.0
259,Aug-20,Non-refugees,61,413,549,253,545,6093,485,775,2714,2317,494,4327,2348,110,80.4
260,Sep-20,All Population,82,385,595,522,584,7572,1014,1047,3470,2624,523,5314,3238,126,100.0
261,Sep-20,Chronic,11,38,374,356,102,3776,508,471,1407,1500,348,2660,1523,51,49.9
262,Sep-20,Refugees,19,24,64,284,50,1412,503,229,691,296,27,917,814,15,18.7
263,Sep-20,Families,16,22,217,332,71,1615,1006,217,594,189,12,840,1177,1,21.3
264,Sep-20,Youth,14,43,87,47,68,713,0,828,0,0,0,475,326,27,9.4
265,Sep-20,Single Adult,52,320,291,143,445,5244,0,0,2876,2435,511,3999,1735,98,69.3
266,Sep-20,Non-refugees,63,361,531,238,534,6160,511,818,2779,2328,496,4397,2424,111,81.4
267,Oct-20,All Population,88,431,636,444,721,7506,951,1031,3454,2685,550,5386,3165,120,100.0
268,Oct-20,Chronic,24,44,296,289,126,3695,414,427,1388,1515,366,2651,1409,50,49.2
269,Oct-20,Refugees,22,18,49,206,71,1215,403,202,602,258,27,799,678,15,16.2
270,Oct-20,Families,25,19,210,264,90,1463,921,201,510,171,14,743,1073,1,19.5
271,Oct-20,Youth,14,33,95,38,71,720,0,829,0,0,0,487,317,25,9.6
272,Oct-20,Single Adult,49,379,331,142,560,5323,0,0,2944,2514,536,4156,1775,94,70.9
273,Oct-20,Non-refugees,66,413,587,238,650,6291,548,829,2852,2427,523,4587,2487,105,83.8
274,Nov-20,All Population,53,486,598,405,606,7586,862,1031,3440,2708,556,5401,3075,121,100.0
275,Nov-20,Chronic,12,32,209,250,127,3552,317,410,1329,1503,370,2572,1305,52,46.8
276,Nov-20,Refugees,6,30,50,147,56,1096,322,178,541,234,24,703,582,14,14.5
277,Nov-20,Families,9,11,186,240,64,1359,831,205,464,152,11,678,984,1,17.9
278,Nov-20,Youth,11,40,69,40,71,714,0,825,0,0,0,493,307,25,9.4
279,Nov-20,Single Adult,33,435,343,125,471,5513,0,0,2976,2556,545,4230,1784,95,72.7
280,Nov-20,Non-refugees,47,456,548,258,550,6490,540,853,2899,2474,532,4698,2493,107,85.6
281,Dec-20,All Population,91,484,621,375,606,7741,808,1028,3534,2791,561,5544,3052,126,100.0
282,Dec-20,Chronic,20,35,212,202,71,3533,261,388,1278,1515,364,2509,1242,55,45.6
283,Dec-20,Refugees,28,21,61,131,51,1024,288,180,496,221,21,662,531,13,13.2
284,Dec-20,Families,23,27,161,215,64,1288,772,198,429,159,9,652,915,0,16.6
285,Dec-20,Youth,16,39,80,29,71,729,0,829,0,0,0,499,301,29,9.4
286,Dec-20,Single Adult,52,418,380,131,471,5724,0,0,3105,2632,552,4393,1836,97,73.9
287,Dec-20,Non-refugees,63,463,560,244,555,6717,520,848,3038,2570,540,4882,2521,113,86.8
288,Jan-21,All Population,84,425,647,346,660,7829,619,892,3165,2607,546,5037,2662,130,100.0
289,Jan-21,Chronic,16,23,303,209,92,3550,203,342,1194,1452,359,2349,1143,58,45.3
290,Jan-21,Refugees,13,23,66,107,39,995,219,153,406,201,16,564,418,13,12.7
291,Jan-21,Families,16,15,158,154,67,1239,601,147,351,130,10,510,729,0,15.8
292,Jan-21,Youth,12,45,89,35,77,752,0,752,0,0,0,443,268,31,9.6
293,Jan-21,Single Adult,56,365,400,157,516,5838,0,0,2814,2477,536,4084,1665,99,74.6
294,Jan-21,Non-refugees,71,402,581,239,621,6834,400,739,2759,2406,530,4473,2244,117,87.3
295,Feb-21,All Population,88,389,590,297,670,7871,609,884,3226,2599,553,5079,2650,142,100.0
296,Feb-21,Chronic,21,26,286,169,86,3601,220,332,1214,1467,368,2382,1158,61,45.8
297,Feb-21,Refugees,13,22,68,67,39,996,223,148,408,200,17,562,421,13,12.7
298,Feb-21,Families,17,4,149,125,62,1221,590,139,348,134,10,513,708,0,15.5
299,Feb-21,Youth,15,39,87,45,66,743,0,743,0,0,0,439,268,36,9.4
300,Feb-21,Single Adult,56,346,354,127,542,5907,0,0,2878,2465,543,4127,1674,106,75.0
301,Feb-21,Non-refugees,75,367,522,230,631,6875,386,736,2818,2399,536,4517,2229,129,87.3
302,Mar-21,All Population,71,389,539,341,725,7745,584,863,3186,2573,539,4996,2593,156,100.0
303,Mar-21,Chronic,18,20,295,186,113,3615,222,320,1234,1478,361,2389,1165,61,46.7
304,Mar-21,Refugees,12,13,47,80,34,961,227,141,384,194,15,545,406,10,12.4
305,Mar-21,Families,12,14,113,124,72,1165,570,127,340,121,7,485,679,1,15.0
306,Mar-21,Youth,20,36,92,52,83,735,0,735,0,0,0,433,258,44,9.5
307,Mar-21,Single Adult,39,339,334,165,570,5845,0,0,2846,2452,532,4078,1656,111,75.5
308,Mar-21,Non-refugees,59,376,492,261,691,6784,357,722,2802,2379,524,4451,2187,146,87.6
309,Apr-21,All Population,69,309,480,268,778,7516,573,906,3010,2499,528,4784,2570,162,100.0
